Year,Violent,Property,Murder,Rape,Robbery,AggravatedAssault,Burglary,Larceny,MotorVehicleTheft
1994,1857670,12131873,23326,102216,618949,1113179,2712774,7879812,1539287
1995,1798792,12063935,21606,97470,580509,1099207,2593784,7997710,1472441
1996,1688540,11805323,19645,96252,535594,1037049,2506400,7904685,1394238
1997,1636096,11558475,18208,96153,498534,1023201,2460526,7743760,1354189
1998,1533887,10951827,16974,93144,447186,976583,2332735,7376311,1242781
1999,1426044,10208334,15522,89411,409371,911740,2100739,6955520,1152075
2000,1425486,10182584,15586,90178,408016,911706,2050992,6971590,1160002
2001,1439480,10437189,16037,90863,423557,909023,2116531,7092267,1228391
2002,1423677,10455277,16229,95235,420806,891407,2151252,7057379,1246646
2003,1383676,10442862,16528,93883,414235,859030,2154834,7026802,1261226
2004,1367009,10328255,16137,94635,401326,854911,2143456,6947685,1237114
2005,1390745,10174754,16740,94347,417438,862220,2155448,6783447,1235859
2006,1418043,9983568,17030,92757,447403,860853,2183746,6607013,1192809
2007,1408337,9843481,16929,90427,445125,855856,2179140,6568572,1095769
2008,1382012,9767915,16272,89000,441855,834885,2222196,6588873,956846
2009,1318398,9320971,15241,88097,408217,806843,2199125,6327230,794616
2010,1246248,9082887,14748,84767,367832,778901,2159878,6185867,737142
2011,1203564,9063173,14612,83425,354396,751131,2188005,6159795,715373
2012,1214464,8975438,14827,84376,354522,760739,2103787,6150598,721053
2013,1191988,8632512,14196,108612,345031,724149,1928465,6004453,699594
2014,1181531,8180456,14081,116186,322464,729800,1707549,5789848,683059
